NO ACTIVATION/UNFILTERED MATCHING (5 YEARS),,,,,,,,,,,,,,,,,,,
Blood type,Priority,Patients arrived,Patients dead,Patients reneged,Patients in queue,Avg inter-arrival times,CI inter-arrival times,Avg wait,CI wait,Avg delay,CI delay,Avg service time,CI service time,Avg # in the node,CI # in the node,Avg # in the queue,CI # in the queue,Utilization,CI utilization
B,low,7529,1897,5621,7,0.239112,+/-0.000692,1271.349185,+/-203.504640,1042.564738,+/-169.776780,228.784447,+/-33.840661,5.397862,+/-0.113680,4.397863,+/-0.113680,0.033631,+/-0.000000
AB,critical,5,0,0,0,236.184191,+/-42.922202,237.630806,+/-43.060262,0.395063,+/-0.068881,237.235743,+/-43.000123,1.001221,+/-0.000230,0.001222,+/-0.000230,0.033631,+/-0.000000
AB,normal,4311,218,1173,176,0.422313,+/-0.002139,13.244577,+/-1.360365,12.731502,+/-1.362075,0.513075,+/-0.003442,25.952304,+/-2.700363,24.952306,+/-2.700363,0.033631,+/-0.000000
AB,low,1980,405,1498,11,0.891603,+/-0.003693,503.282144,+/-72.850115,486.015584,+/-71.171457,17.26656,+/-1.778268,25.739131,+/-2.895266,24.739133,+/-2.895266,0.033631,+/-0.000000
,,,,,,,,,,,,,,,,,,,
ACTIVATION/UNFILTERED (5 YEARS),,,,,,,,,,,,,,,,,,,
Blood type,Priority,Patients arrived,Patients dead,Patients reneged,Patients in queue,Avg inter-arrival times,CI inter-arrival times,Avg wait,CI wait,Avg delay,CI delay,Avg service time,CI service time,Avg # in the node,CI # in the node,Avg # in the queue,CI # in the queue,Utilization,CI utilization
0,critical,95,3,12,0,16.857331,+/-0.780603,31.962303,+/-1.184722,10.744763,+/-0.561342,21.21754,+/-0.833866,1.501893,+/-0.027520,0.501895,+/-0.027519,0.033631,+/-0.000000
0,normal,63285,4718,15594,23341,0.028417,+/-0.000046,521.494495,+/-81.465254,521.406898,+/-81.464004,0.087597,+/-0.001946,5770.547613,+/-887.206456,5769.547616,+/-887.206455,0.033631,+/-0.000000
0,low,11859,3028,8831,0,11.834287,+/-12.408884,0,+/-0.000000,0,+/-0.000000,0,+/-0.000000,1.526522,+/-0.182625,0.526525,+/-0.182625,0.033631,+/-0.000000
A,critical,60,0,1,0,26.241805,+/-1.291321,27.825129,+/-1.374960,1.364465,+/-0.085796,26.460664,+/-1.299345,1.051224,+/-0.002266,0.051226,+/-0.002265,0.033631,+/-0.000000
A,normal,44308,2502,11494,598,0.040858,+/-0.000120,16.593589,+/-0.981787,16.531193,+/-0.982613,0.062397,+/-0.001064,269.421764,+/-17.365282,268.421767,+/-17.365281,0.033631,+/-0.000000
A,low,8170,1974,6193,3,15.76736,+/-24.223171,0,+/-0.000000,0,+/-0.000000,0,+/-0.000000,1.751504,+/-0.252700,0.751507,+/-0.252699,0.033631,+/-0.000000
B,critical,38,1,0,0,65.300075,+/-13.428377,71.890087,+/-13.185759,3.531469,+/-0.351901,68.358618,+/-13.283496,1.063003,+/-0.007782,0.063006,+/-0.007781,0.033631,+/-0.000000
B,normal,19873,1467,4606,268,0.090924,+/-0.000406,18.900837,+/-1.102987,18.764095,+/-1.104650,0.136742,+/-0.002019,139.899541,+/-8.938552,138.899544,+/-8.938551,0.033631,+/-0.000000
B,low,3697,911,2780,6,21.689718,+/-26.914413,0,+/-0.000000,0,+/-0.000000,0,+/-0.000000,1.566919,+/-0.188286,0.566922,+/-0.188286,0.033631,+/-0.000000
AB,critical,5,0,0,0,236.184615,+/-42.922075,237.914636,+/-43.093491,0.678319,+/-0.133131,237.236317,+/-43.000088,1.002145,+/-0.000461,0.002147,+/-0.000460,0.033631,+/-0.000000
AB,normal,5222,213,1183,50,0.352561,+/-0.001754,9.249511,+/-0.449930,8.755487,+/-0.454495,0.494024,+/-0.005637,18.868755,+/-1.005961,17.868758,+/-1.005960,0.033631,+/-0.000000
AB,low,999,192,722,58,21.398488,+/-26.777315,256.2742,+/-85.754060,171.885468,+/-61.151553,84.388732,+/-53.590183,3.537134,+/-1.010801,2.537137,+/-1.010801,0.033631,+/-0.000000
